word,wikiID
investor,Q557880
nobel,Q224138
industrier,-1
voting,Q189760
open,Q351962
crowns,Q170984
friday,Q130
restricted,Q7278231
left,Q3485002
amounted,-1
undertaken,-1
defend,Q247001
far,Q228819
interests,Q3153794
originally,Q7102610
arms,Q296756
chemicals,Q79529
buying,Q601401
volvo,Q163810
atlas,Q162827
stora,Q747265
skanska,Q1537811
incentive,Q1414816
zurich,Q72
property,Q1400881
managed,-1
alfa,Q232872
concentrating,-1
building,Q41176
prevent,Q5611828
raid,Q348465
heart,Q1072
electrical,Q12725
asea,Q297433
small,Q420725
speculation,Q107885
activities,Q241636
ordinary,Q342432
continental,Q229138
every,Q5417428
stg,-1
nominal,Q1994078
already,Q58828578
holds,Q841833
representing,Q7314265
completion,Q1651094
tendering,Q96382802
converted,Q235969
gave,Q358972
insurance,Q43183
broker,Q160117
plc,Q224036
purchased,-1
plus,Q247984
tangible,Q7682954
combined,Q5150836
excluding,-1
institute,Q1664720
economics,Q8134
listed,Q6646046
tokyo,Q1490
foresee,Q14595968
rationalisation,Q298256
manufacturing,Q187939
cope,Q849829
reduce,Q225229
borrowing,Q406759
supported,-1
businesses,Q4830453
promote,Q233269
liberalisation,Q746418
lowering,Q21072707
regulation,Q428148
maturities,Q384660
prevailing,Q7242336
cd,Q34467
half,Q2114394
discount,Q5281730
example,Q29864097
exco,Q16782164
british,Q849811
commonwealth,Q2578692
shipping,Q651658
bcom,Q4838786
rmj,-1
richard,Q1249148
bk,Q227646
stakes,Q2082178
brokers,Q160117
broking,Q160117
obligations,Q2648051
sponsored,Q396951
agencies,Q232353
spc,Q281319
valued,Q5189153
managing,Q2920921
peter,Q226393
suggesting,-1
fees,Q11765
volumes,Q39297
doubled,Q139090
employed,Q656365
provided,-1
software,Q7397
community,Q177634
offices,Q12823105
turnover,Q13368077
permission,Q1175919
lifted,Q2541885
rapidly,-1
contribute,Q237302
agrees,-1
entered,Q161935
conditional,Q1781222
distributes,-1
enlarged,-1
ahead,Q400178
african,Q385848
sanctions,Q407075
democratic,Q342240
party,Q200538
decree,Q2571972
unilateral,Q785893
africa,Q15
conference,Q348914
took,Q7824021
priority,Q99298406
backing,Q798314
form,Q1235072
boycott,Q179366
force,Q11402
begin,Q353947
top,Q23856
sides,Q395237
increasingly,Q11926606
annually,Q567353
sub,Q438656
cabinet,Q1024843
whole,Q7997504
relations,Q230259
pave,Q7155547
secretary,Q80687
stop,Q924703
congressional,Q2495862
protectionist,Q179073
pressing,Q3402603
action,Q343542
huge,Q5929649
appreciate,Q10855101
frustration,Q192242
hard,Q295116
forcing,Q5467581
exporters,Q182722
slash,Q229049
spending,Q192270
lay,Q414029
statistics,Q12483
progress,Q2351730
instead,Q4041431
congress,Q2495862
minutes,Q2085515
list,Q162032
replied,-1
discussions,Q179875
structures,Q6671777
affect,Q1184551
bilateral,Q4907572
imbalance,Q3540864
favour,Q347719
multilateral,Q16877596
tariffs,Q52389
gatt,Q359688
computers,Q68
structural,Q6671777
intended,Q6044264
consumer,Q22855
credit,Q182076
implications,Q1215266
deficits,Q42317814
delicate,Q5253914
abandon,Q397584
tight,Q7801616
complained,-1
intention,Q706622
washington,Q25301
turn,Q411785
meant,Q813854
seems,-1
draft,Q361482
practices,Q3401405
without,Q8028213
otherwise,Q7108672
senator,Q2570643
lloyd,Q1866936
bentsen,Q21508656
happy,Q8
proposal,Q2534388
reciprocal,Q1271763
access,Q338902
retaliatory,-1
bargaining,Q1401706
especially,-1
threat,Q707125
leverage,Q401502
admitted,-1
complaints,Q5156383
variety,Q19623879
fields,Q1201101
sent,Q69709
universities,Q3918
sophisticated,Q459524
machines,Q11019
eventually,Q27792584
informal,Q722617
bidding,Q3276328
procedures,Q14167404
easily,Q5327506
understood,Q46744
potential,Q1202245
sellers,Q420707
carlton,Q246519
started,Q63349275
showing,-1
healthy,Q12147
green,Q3133
looked,-1
successfully,-1
presence,Q62395707
represented,-1
television,Q289
look,Q349894
buoyant,Q6497624
ministers,Q346786
discuss,Q52943
coordination,Q399555
implementation,Q245962
exporting,Q178803
face,Q37017
stiff,Q1301768
buyer,Q1308239
resistance,Q22114637
stabilize,Q344864
newspaper,Q11032
taiwan,Q865
round,Q398690
deep,Q342481
narrow,Q1126266
wang,Q296599
sometime,Q75101402
items,Q425159
speed,Q3711325
faster,Q1180836
partner,Q246166
island,Q23442
unacceptable,Q42377797
criticised,-1
selective,Q7447738
boosted,Q446964
protectionism,Q179073
weakened,-1
textiles,Q28823
machine,Q11019
tools,Q39546
taiwanese,Q2024058
delegation,Q1184065
leaves,Q33971
limiting,Q1613840
textile,Q28823
limited,Q1825485
taipei,Q1867
losing,Q6683617
korea,Q18097
satisfactory,Q62049495
projections,Q6502279
proposed,Q2534388
adjusting,-1
container,Q987767
morning,Q7722
english,Q182
remaining,-1
performing,Q35140
largely,-1
gross,Q299064
grew,Q21492422
nearly,Q727691
adversely,-1
colony,Q133156
entire,Q3055094
hongkong,Q8646
cavendish,Q691315
spin,Q229949
reorganisation,Q1728583
separately,-1
issuing,-1
give,Q5565592
decision,Q973405
criticism,Q17955
hilton,Q232712
hotel,Q27686
pearson,Q229105
britain,Q4798430
scientific,Q336
micro,Q254624
supplier,Q7644488
enhancement,Q1343050
disc,Q224358
drive,Q4167568
personal,Q415830
privately,-1
mountain,Q8502
view,Q419329
california,Q99
approximately,Q27058
double,Q139090
options,Q397164
rumored,-1
studying,Q1899632
actions,Q343542
consideration,Q1344851
integral,Q80091
strategy,Q185451
external,Q5422008
matters,Q903770
strategic,Q185451
ultimately,-1
giant,Q3707571
focused,Q30329621
beyond,Q532690
thursday,Q129
bring,Q4968231
similar,Q254390
employees,Q656365
consider,Q5163182
concerned,Q1324697
enhanced,Q5378767
raise,Q7285081
jeffrey,Q10861923
allow,Q16869202
stand,Q342013
contacted,-1
confirm,Q188613
unsuccessfully,-1
attempted,Q29142
looking,Q56274009
global,Q438562
takeover,Q1416898
rejected,Q2142323
rebuffed,-1
approached,-1
ropak,-1
buckhorn,Q448574
accepted,Q1519049
response,Q1650182
expired,Q5421242
starting,Q257117
hostile,Q2729863
lender,Q157165
margin,Q5557864
waived,Q797551
acceptance,Q424543
intends,Q6044264
evaluate,Q1379672
number,Q11563
meaningful,Q39645
negotiations,Q202875
seeks,Q3477678
seeking,Q7445771
instrument,Q225829
estates,Q400001
ill,Q227554
concentrate,Q1355665
load,Q1530792
evaluating,-1
satisfy,Q27792627
alexander,Q923
jr,Q127942
resigned,Q796919
limitation,Q1590843
liability,Q1218236
dale,Q348730
burdett,Q418003
damage,Q481609
claim,Q1094717
damages,Q308922
claims,Q1094717
totalling,-1
owners,Q6498684
publications,Q732577
predecessor,Q16881385
qualified,Q21071764
successor,Q939330
measured,Q12453
difference,Q75101527
values,Q194112
exchanged,Q416020
purolator,Q7261370
pcc,Q235139
buyout,Q3647770
efh,-1
jersey,Q785
overnight,Q16253951
courier,Q848466
formed,-1
lbo,-1
managers,Q2920921
mulling,-1
predicted,Q748250
majority,Q7382648
owner,Q6498684
acquiring,-1
pc,Q190685
rest,Q1270500
containing,Q1128498
tendered,Q829492
warrant,Q452800
aggregate,Q235025
follows,Q5464798
auto,Q4826044
retains,-1
closure,Q256472
tanks,Q12876
reviewing,Q265158
rivals,Q1139327
add,Q32043
ground,Q14493119
fleet,Q346949
complete,Q178518
bridge,Q12280
financing,Q6055890
keeping,Q6383244
turning,Q258127
serious,Q1206429
competitor,Q476300
william,Q12344159
executive,Q1166374
conditioned,Q420629
thirds,Q10861399
withdrawn,Q28469944
expiration,Q3062108
staff,Q354769
interstate,Q94247
commerce,Q26643
expire,Q15906346
unless,Q3602937
extended,Q295785
barbara,Q225874
fsb,-1
definitive,Q5251623
bbc,Q9531
ag,Q217400
boveri,Q21491897
und,Q234808
cie,Q352211
z,Q9751
parent,Q7566
swiss,Q176917
francs,Q1403377
marriott,Q1902516
seasons,Q24384
hotels,Q27686
vms,Q358003
biltmore,Q863362
venture,Q2513043
invest,Q4290
room,Q180516
omits,-1
omit,Q7090216
consecutive,Q16862399
subscribe,Q43006303
roughly,Q7370911
participation,Q1178827
existing,Q468777
viacom,Q66237878
amusements,-1
mcv,-1
laroche,Q178050
starts,-1
neco,Q585425
la,Q217390
withdrawal,Q28469944
est,Q219304
gmt,Q30192
sydney,Q3130
cronus,Q44204
western,Q248180
sum,Q407074
financed,-1
manufacturers,Q187939
heat,Q44432
transfer,Q257559
pre,Q442627
hart,Q247345
scott,Q223918
rodino,Q1274414
expecting,Q16782178
reporters,Q1930187
mainly,-1
attributed,-1
surge,Q404057
contributions,Q237302
associated,Q4809150
stability,Q392536
rich,Q421706
noting,-1
land,Q11081619
harbour,Q283202
exchanging,Q416020
views,Q419329
build,Q1002975
airport,Q1248784
whittaker,Q21507202
via,Q232736
receives,-1
revised,Q7318420
arsenal,Q81669
fraction,Q66055
delayed,Q352862
equitable,Q5384611
assurance,Q234378
society,Q8425
ownership,Q6498684
votes,Q836660
boosts,-1
pittston,Q1185835
wtc,Q410664
diagnostic,Q16644043
retrieval,Q968112
rospatch,-1
miller,Q694116
penn,Q284654
traffic,Q4323994
approve,Q4781747
representatives,Q3427349
serve,Q1176587
minneapolis,Q36091
sb,Q218146
wmx,Q8028924
porex,-1
davis,Q740043
medco,Q6805184
tentatively,-1
parties,Q200538
granted,Q96379858
refusal,Q7307702
described,-1
fast,Q342933
throughout,-1
date,Q16997
burlington,Q224175
eliminate,-1
underway,Q7883884
elimination,Q246947
unprofitable,-1
multi,Q436163
step,Q594799
listing,Q1864932
consolidated,Q1127477
tvx,-1
significantly,-1
reflecting,Q120429
retirement,Q946865
august,Q122
shop,Q736272
cos,Q225779
provision,Q16881471
store,Q1137469
jim,Q296487
walter,Q246836
drs,Q83877
wood,Q287
dates,Q16997
disposition,Q1149305
defer,Q5251497
divestiture,Q1200733
maintenance,Q906409
travelers,Q2450618
affiliate,Q382466
agreements,Q342425
medical,Q11190
sa,Q218252
france,Q142
incurred,-1
unsolicited,-1
sterling,Q227609
grace,Q295047
lp,Q224949
acting,Q222749
persons,Q215627
entities,Q8776407
obtaining,-1
diligence,Q1427962
referred,-1
corning,Q231931
hazleton,Q451070
realize,Q1205736
ratio,Q3481047
glass,Q11469
laboratories,Q483242
established,Q65045905
prospectus,Q7250849
mailed,-1
vote,Q189760
bally,Q412279
golden,Q232709
nugget,Q1438694
casino,Q133215
atlantic,Q97
assumption,Q420391
reverse,Q3428494
gelco,Q5530392
shell,Q224038
massachusetts,Q771
nursery,Q7070218
florida,Q812
acres,Q81292
houses,Q3947
square,Q164
mfs,-1
sectors,Q227911
semi,Q236973
esselte,Q1368609
indiana,Q1415
label,Q722218
retail,Q126793
electronic,Q16278455
effort,Q3049084
grow,Q351698
jointly,-1
resort,Q875157
stone,Q8063
splits,Q524080
urges,-1
overseas,Q16886544
studies,Q340383
exploration,Q6502154
techniques,Q211857
consumption,Q5164758
guard,Q413876
risks,Q104493
unusual,Q7897786
settlement,Q1247845
patent,Q253623
suit,Q614806
writeoff,Q5551716
item,Q425159
scale,Q393789
redstone,Q423667
sweetened,Q460453
sumner,Q296293
leads,Q1968967
groups,Q654302
controls,Q417861
mass,Q11423
theater,Q11635
chain,Q2397485
operator,Q228588
purpose,Q706622
fifth,Q1030026
disclose,Q2321577
purchases,Q1369832
confidentiality,Q2476929
records,Q399857
information,Q11028
secret,Q1503443
sec,Q229968
confident,Q4116378
besides,Q4896275
syndicate,Q681615
separate,Q28838172
merrill,Q402896
lynch,Q224968
smith,Q217465
toward,Q7829561
contribution,Q237302
consist,Q870
war,Q198
contains,Q1128498
newly,-1
drawn,Q234634
documents,Q49848
consisting,-1
montedison,Q912872
antibioticos,-1
mi,Q200520
concluded,-1
spanish,Q241649
pharmaceuticals,Q12140
awaiting,Q17504822
authorization,Q788590
lire,Q410708
utilicorp,-1
ucu,-1
became,-1
responsible,Q1274115
basic,Q439284
fee,Q11765
device,Q18960408
accept,Q4672359
cheap,Q5088837
either,Q5350020
carbide,Q241906
uk,Q145
looks,Q780294
ventures,Q2513043
w,Q9964
describing,-1
departure,Q410104
approach,Q4781711
forum,Q207829
promising,-1
routes,Q415384
identified,Q925322
attitude,Q758200
explained,Q7958
done,Q5295586
best,Q246064
see,Q384351
link,Q224246
someone,Q10373242
extending,-1
specialty,Q7574930
corrected,-1
bankamerica,Q487907
negotiating,Q202875
bac,Q256432
german,Q348514
branch,Q2923673
bankhaus,-1
centrale,Q408867
visa,Q229055
card,Q295121
proceeding,Q1143604
marks,Q419860
transfers,Q257559
franklin,Q219022
gold,Q897
mthly,-1
age,Q416981
petro,Q15898089
rotterdam,Q34370
employers,Q656365
dutch,Q1267799
fnv,-1
abandoned,Q397584
tonight,Q399469
strikes,Q302908
disrupted,Q5282723
cargo,Q319224
broke,Q2925970
protest,Q273120
redundancies,Q375728
workforce,Q13440398
restart,Q1175112
comes,Q1071047
deadline,Q343285
affairs,Q29652800
de,Q219328
graaf,Q419224
resolution,Q6593274
dispute,Q5282690
withdraw,Q28469944
guilder,Q203607
labour,Q6120474
subsidy,Q193219
utilities,Q1951366
gel,Q185744
technical,Q7692238
default,Q349724
southeast,Q11114344
murray,Q224657
lenders,Q189539
neither,Q6989688
restaurant,Q11707
md,Q211535
expenses,Q13516686
newport,Q224715
healthcare,Q31207
mercury,Q48397
entertainment,Q173799
ct,Q225590
unocal,Q1393497
ucl,Q250211
eastern,Q407035
coast,Q93352
pesch,Q21491219
ami,Q230562
wedge,Q131408
lebanese,Q6510834
living,Q395956
discussed,Q179875
possibility,Q7233418
joining,Q413109
stressed,-1
refused,Q1358175
rule,Q230037
closely,-1
concern,Q5158445
controlled,Q417861
specify,-1
appropriate,Q621724
banner,Q806880
bnr,-1
rexnord,Q28207096
rex,Q4392946
pursuant,-1
midnight,Q36402
corrects,-1
paragraph,Q194431
ran,Q348451
telcom,Q3626533
film,Q11424
distributor,Q1459069
mostly,-1
films,Q11424
required,Q774228
transactions,Q279242
southwestern,Q11114344
slight,Q55550609
release,Q351889
indebtedness,Q3196867
unisys,Q518016
uis,Q992802
jacobson,Q14938464
stores,Q1137469
represents,-1
hoechst,Q9293203
celanese,Q547450
germany,Q183
americus,Q350292
extends,Q295785
accepting,-1
extension,Q295785
tenders,Q230266
alex,Q13258171
sons,Q177232
absb,-1
morse,Q226572
shoe,Q22676
ice,Q23392
shipbuilding,Q474200
letter,Q293618
intent,Q706622
icebreaker,Q14978
john,Q397210
vancouver,Q24639
shipyards,Q190928
arctic,Q25322
awarded,Q618779
prepare,Q92785897
assurances,-1
technically,-1
financially,-1
capable,Q5034462
generate,Q5532546
person,Q215627
direct,Q395684
employment,Q656365
powerful,Q398902
controversial,Q1255828
passage,Q257010
sea,Q165
disputed,Q1255828
northwest,Q11114344
claiming,-1
area,Q11500
sovereignty,Q42008
operates,-1
convenience,Q5166129
southeastern,Q11114344
explore,Q6502154
prospective,Q7250828
acquirers,Q342551
video,Q34508
ends,Q5376630
carryforward,-1
master,Q226669
merchandise,Q740777
renouf,Q7313436
proceed,Q96389934
benequity,-1
terminate,Q7702782
obtain,-1
england,Q21
thrift,Q2429543
yield,Q596465
respond,Q7315940
insured,Q43183
minnesota,Q1527
michigan,Q1166
ziering,Q21487971
expect,Q2642029
weaker,Q633403
accelerated,-1
penetration,Q367837
drug,Q8386
ccr,-1
puerto,Q2117383
rico,Q2151781
convergent,Q2996392
supplies,Q11827939
leasing,Q716894
involve,Q16797811
nymex,Q120233
hour,Q25235
mercantile,Q601401
procedure,Q14167404
complex,Q28839103
futures,Q1171965
initiate,Q20999220
closes,Q420328
subsequently,Q1332977
hedge,Q235779
trades,Q7831918
opens,-1
negotiate,Q202875
differential,Q241623
frank,Q584189
century,Q578
liquidity,Q184783
trader,Q3536375
physical,Q1247875
entering,Q1147018
arrangement,Q379755
providing,-1
requested,-1
halted,-1
brookehill,-1
j,Q9773
responded,-1
confidence,Q4116378
rejects,-1
georgia,Q4962
pioneer,Q2096314
atlanta,Q23556
talking,Q55350252
side,Q395237
insisted,-1
timing,Q450809
proxy,Q416543
material,Q214609
regulatory,Q428148
approvals,-1
broadcast,Q15078788
licenses,Q79719
cable,Q1796060
franchises,Q366459
arbitrage,Q273088
players,Q3906525
convinced,-1
superior,Q225778
chance,Q349043
win,Q405718
word,Q8171
climbed,-1
recommendation,Q3422023
create,Q5183420
restructured,Q1376796
leveraged,Q1148384
sheet,Q1214119
package,Q407770
fractional,Q1109871
consummated,Q381344
calls,Q407264
thereafter,-1
really,Q16881922
edge,Q218743
adopted,Q180472
structure,Q6671777
dipped,-1
affected,Q1184551
warner,Q232461
craft,Q2207288
spun,Q1663240
cbs,Q43380
subscribers,Q43006303
satellite,Q26540
stations,Q34700
distributors,Q1459069
programs,Q768396
sign,Q3695082
spirit,Q193291
immediate,Q16797385
player,Q353589
negotiators,Q202875
opened,Q17073099
summer,Q1313
aimed,-1
dismantling,-1
barriers,Q406977
biggest,-1
shipments,-1
competitiveness,Q1178401
economies,Q159810
lessen,Q667790
mar,Q1308588
ties,Q403069
canadians,Q1196645
politically,Q7163
size,Q322481
realized,Q7301281
permit,Q7169346
productivity,Q2111958
demanded,-1
competitive,Q476300
imposing,Q16934483
duties,Q878070
duty,Q878070
lumber,Q1370714
grounds,Q38060251
concerns,Q5158445
curbs,Q37442
cultural,Q11042
publishing,Q3972943
broadcasting,Q15078788
defense,Q10264721
acid,Q11158
rain,Q7925
rejection,Q322280
waters,Q2552657
rental,Q157171
fla,Q407050
locations,Q2221906
diablo,Q232018
merge,Q1323078
headquartered,Q7540126
calif,Q5019908
san,Q224020
ramon,Q296591
relates,-1
int,Q296671
adopts,-1
stockholder,Q381136
event,Q1297532
acquires,-1
announces,-1
entitle,-1
served,Q1176587
nature,Q7860
advised,-1
corporation,Q167037
engage,Q5377393
concerning,-1
combination,Q202805
minerals,Q7946
animal,Q729
chemical,Q79529
johnson,Q1158485
moore,Q117753
farm,Q131596
jwt,-1
ted,Q6502194
robert,Q4927937
friendly,Q412905
advertising,Q37038
heading,Q27787138
saatchi,Q1293069
mines,Q256955
write,Q37260
silver,Q1090
foote,Q21476736
detail,Q1184933
flat,Q354943
legal,Q7748
advisors,Q2994387
outcome,Q7111908
bass,Q227155
indicated,-1
identify,Q407776
holder,Q1624408
segment,Q258480
join,Q413109
witter,Q2586771
reynolds,Q248004
factor,Q1393757
republic,Q7270
finish,Q198999
larger,-1
representation,Q249614
donaldson,Q16463049
lufkin,Q975590
jenrette,Q6179580
merchant,Q215536
doubt,Q34302
sit,Q1144593
type,Q2463013
succeeds,-1
combine,Q16280603
efficient,Q600086
hospitals,Q16917
begun,Q759147
turnaround,Q1181552
replacing,Q396788
reducing,Q225229
requires,-1
prince,Q2747456
productions,Q663143
amca,-1
finalized,Q3437993
inventories,Q815410
centers,Q62207
toronto,Q172
branches,Q2923673
hospitality,Q815825
ottawa,Q1930
operate,Q7096677
suitor,Q376596
forthcoming,Q5472609
doubted,-1
emerge,Q3724127
struck,Q34049103
slipped,-1
adviser,Q2994387
read,Q418416
rival,Q1139327
breakup,Q322451
reveal,Q2146747
restated,-1
peoples,Q2472587
bancorporation,Q2512624
cpl,Q232775
automotive,Q190117
parts,Q414241
alsthom,Q309084
composite,Q299069
materials,Q214609
aerospace,Q2876213
users,Q258567
applications,Q294834
transportation,Q7590
near,Q453448
developer,Q409857
ccl,-1
nestle,Q160746
equivalent,Q235935
horizon,Q43261
packaging,Q207822
municipal,Q15284
armtek,-1
arm,Q43471
tire,Q169545
armstrong,Q647662
rubber,Q131877
assembly,Q366378
dyr,-1
facility,Q346146
clinton,Q11003143
tenn,Q1509
plants,Q756
serving,Q7455887
original,Q2914681
replacement,Q396788
tires,Q169545
greece,Q41
aegean,Q97484397
drilling,Q890886
responding,-1
warning,Q3566377
turkey,Q43
conducting,Q6989196
greek,Q227823
clear,Q400623
ambassador,Q121998
met,Q246430
undersecretary,Q766504
turkish,Q19754674
framework,Q1289773
shelf,Q1175677
athens,Q1524
trace,Q296103
mr,Q177053
drill,Q58964
exclusively,Q1207633
repeatedly,-1
let,Q349292
know,Q9081
considers,-1
courts,Q41487
leucadia,Q1821339
minstar,-1
raider,Q413177
irwin,Q299838
jacobs,Q247605
del,Q334508
charter,Q727002
salt,Q11254
lake,Q23397
utah,Q829
partnership,Q728646
whose,Q17162845
cumulative,-1
repeal,Q4590027
writedown,Q5551716
swap,Q230234
maximum,Q845060
norman,Q40206
painewebber,-1
pwj,-1
mitchell,Q218656
behalf,Q22670946
clients,Q16278284
laser,Q38867
precision,Q2108242
redeemed,Q55064468
cap,Q6147804
purchasers,-1
woodstock,Q164815
retailers,Q126793
entitling,-1
subordinate,Q188619
ldbrinkman,-1
fidelity,Q2119376
bermuda,Q23635
fmr,-1
boston,Q100
bringing,-1
itt,-1
hartford,Q33486
premiums,-1
aided,Q2827815
casualty,Q2941545
written,Q37260
probes,-1
tre,Q360936
attempt,Q29142
violations,Q7933104
connection,Q569320
unsuccessful,-1
sugarman,Q48549120
attorneys,Q1289214
investigators,Q5016658
jefferies,Q21487145
underwritten,Q1898080
finally,Q5449483
reliance,Q402655
investigating,Q345847
working,Q8034885
disclosing,-1
attorney,Q1289214
examining,-1
adequate,-1
usage,Q1308274
confirmed,Q188613
aluminum,Q663
probe,Q123722
cooperated,-1
heard,Q416157
nothing,Q154242
knowledge,Q9081
investigation,Q345847
acknowledged,Q2823464
matter,Q35758
enforcement,Q4202277
seafarers,Q45199
threaten,Q707125
strike,Q302908
spring,Q19304
percent,Q11229
guarantee,Q16246919
great,Q1219565
lakes,Q23397
coasts,Q93352
appointed,Q4781628
settle,Q2274949
asking,Q189756
crew,Q345844
jobs,Q1690962
dallas,Q16557
